Logging results to [1m/home/ros/vonduke-builds/AKSUMAEL/runs/detect/data/models/aksumael_mc[0m
      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size

[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 16/892 7.5it/s 2.8s<1:56
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 1% ──────────── 17/892 7.5it/s 2.9s<1:57
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 18/892 7.3it/s 3.0s<1:59
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 19/892 7.2it/s 3.2s<2:01
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 20/892 7.1it/s 3.3s<2:03
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 21/892 5.5it/s 3.9s<2:39
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 22/892 4.5it/s 4.4s<3:14
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 23/892 5.4it/s 4.5s<2:40
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 24/892 5.9it/s 4.7s<2:27
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 25/892 6.4it/s 4.8s<2:16
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 2% ──────────── 26/892 6.9it/s 4.9s<2:05
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 27/892 7.3it/s 5.0s<1:58
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 28/892 7.7it/s 5.2s<1:52
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 29/892 7.7it/s 5.3s<1:52
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 30/892 7.6it/s 5.4s<1:53
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 31/892 7.7it/s 5.5s<1:51
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 32/892 8.0it/s 5.7s<1:47
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 33/892 8.1it/s 5.8s<1:46
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 34/892 8.0it/s 5.9s<1:47
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 3% ──────────── 35/892 7.9it/s 6.0s<1:49
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 4% ──────────── 36/892 7.6it/s 6.2s<1:53
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 4% ──────────── 37/892 7.1it/s 6.4s<1:60
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 4% ╸─────────── 38/892 7.1it/s 6.5s<2:00
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 4% ╸─────────── 39/892 6.7it/s 6.7s<2:07
[K                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 4% ╸─────────── 40/892 6.5it/s 6.8s<2:12
